Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status
LP100060,4520,5948,622,84,1,Male,Yes,1,Graduate,Yes,Semiurban,Y
LP100061,13641,5947,589,360,0,Female,Yes,3+,Graduate,Yes,Semiurban,Y
LP100062,7024,6500,401,360,1,Female,No,1,Graduate,No,Semiurban,N
LP100063,9172,5280,346,120,0,Female,No,1,Graduate,Yes,Semiurban,Y
LP100064,9126,10996,396,120,1,Female,No,1,Graduate,No,Rural,Y
LP100065,2514,4748,118,180,1,Male,Yes,1,Graduate,Yes,Urban,Y
LP100066,21934,14217,434,84,1,Male,Yes,2,Graduate,No,Urban,Y
LP100067,4238,3218,88,84,1,Male,No,1,Graduate,No,Urban,Y
LP100068,1755,13840,121,84,1,Female,Yes,1,Graduate,Yes,Urban,Y
LP100069,13128,5204,476,84,1,Female,No,0,Not Graduate,No,Semiurban,Y
LP100070,23755,11758,332,84,1,Female,Yes,2,Graduate,No,Semiurban,Y
LP100071,23381,7118,490,84,1,Female,Yes,2,Not Graduate,No,Rural,Y
LP100072,17540,7507,604,360,0,Male,Yes,0,Graduate,Yes,Rural,Y
LP100073,16073,2192,141,120,0,Female,No,2,Graduate,Yes,Rural,Y
LP100074,22975,4057,183,180,0,Male,No,1,Graduate,No,Urban,Y
LP100075,14055,6759,297,360,0,Male,No,1,Graduate,Yes,Rural,Y
LP100076,17065,11442,192,180,0,Female,No,2,Graduate,Yes,Semiurban,N
LP100077,7793,11258,193,180,0,Male,Yes,0,Not Graduate,No,Urban,Y
LP100078,3937,9085,236,180,0,Male,Yes,1,Graduate,Yes,Urban,Y
LP100079,22536,5201,246,180,0,Female,No,0,Graduate,No,Rural,N
LP100080,11386,14060,318,120,1,Male,Yes,3+,Not Graduate,No,Rural,Y
LP100081,20376,14978,335,180,0,Male,No,0,Graduate,No,Urban,Y
LP100082,9208,3798,591,120,1,Female,No,2,Graduate,Yes,Urban,Y
LP100083,11680,8532,617,180,1,Female,No,3+,Graduate,No,Rural,Y
LP100084,12738,1932,78,84,1,Male,No,3+,Not Graduate,Yes,Urban,Y
LP100085,10028,7943,169,120,1,Female,Yes,3+,Not Graduate,Yes,Urban,Y
LP100086,18867,6943,493,120,0,Male,No,0,Graduate,No,Urban,Y
LP100087,23073,7454,159,180,1,Female,No,2,Not Graduate,Yes,Urban,Y
LP100088,9462,12450,180,120,0,Female,No,2,Not Graduate,Yes,Semiurban,Y
LP100089,9585,7188,634,180,1,Female,Yes,2,Graduate,Yes,Urban,Y
LP100090,17725,7208,53,360,1,Male,Yes,3+,Graduate,Yes,Semiurban,N
LP100091,10696,7173,313,180,1,Female,No,2,Graduate,No,Urban,Y
LP100092,15524,1516,557,120,0,Female,Yes,3+,Not Graduate,No,Urban,Y
LP100093,3207,11292,469,84,1,Female,No,2,Not Graduate,No,Urban,Y
LP100094,18889,6034,616,360,1,Male,No,1,Graduate,Yes,Urban,Y
LP100095,15787,9016,569,120,0,Male,No,3+,Not Graduate,No,Rural,Y
LP100096,10314,9077,519,120,1,Female,Yes,2,Not Graduate,No,Semiurban,Y
LP100097,5450,4080,286,84,0,Male,No,2,Graduate,No,Rural,Y
LP100098,7089,401,182,360,1,Male,Yes,0,Graduate,No,Urban,Y
LP100099,2848,4337,131,180,1,Female,Yes,2,Graduate,No,Semiurban,Y
LP100100,22984,9996,200,120,1,Female,No,2,Not Graduate,Yes,Urban,Y
LP100101,9821,3436,441,84,1,Male,Yes,0,Graduate,No,Urban,N
LP100102,11850,10660,594,360,0,Female,No,2,Graduate,Yes,Urban,Y
LP100103,8191,4373,678,120,0,Female,Yes,2,Not Graduate,No,Rural,N
LP100104,6875,9998,299,120,0,Female,No,2,Graduate,Yes,Semiurban,Y
LP100105,21876,10311,178,120,0,Female,Yes,3+,Not Graduate,No,Semiurban,N
LP100106,22970,5388,287,120,1,Female,No,0,Graduate,Yes,Urban,Y
LP100107,12553,786,628,120,0,Female,Yes,0,Not Graduate,Yes,Rural,Y
LP100108,8789,3663,696,360,0,Female,Yes,3+,Graduate,No,Semiurban,Y
LP100109,3088,2882,267,120,0,Female,Yes,1,Graduate,Yes,Rural,Y
LP100110,22605,14677,533,84,0,Male,No,1,Not Graduate,No,Semiurban,Y
LP100111,17151,9865,581,360,0,Male,Yes,3+,Not Graduate,Yes,Urban,Y
LP100112,5740,5739,245,360,1,Female,Yes,0,Graduate,No,Rural,Y
LP100113,3527,1457,633,180,1,Male,Yes,2,Not Graduate,Yes,Rural,Y
LP100114,4431,1529,109,120,1,Female,No,3+,Not Graduate,No,Urban,N
LP100115,19028,8115,312,120,0,Male,No,2,Not Graduate,No,Urban,Y
LP100116,21190,3144,534,180,0,Male,Yes,2,Graduate,No,Rural,Y
LP100117,24285,12355,164,120,0,Male,No,3+,Not Graduate,No,Urban,Y
LP100118,1537,4374,648,84,1,Male,Yes,2,Graduate,Yes,Rural,Y
LP100119,14340,10408,619,360,1,Male,Yes,2,Graduate,Yes,Urban,N
LP100120,21304,11050,64,84,1,Male,Yes,0,Graduate,Yes,Rural,Y
LP100121,6476,2014,393,180,1,Male,No,3+,Not Graduate,No,Semiurban,Y
LP100122,4204,1560,55,120,1,Male,Yes,3+,Graduate,Yes,Semiurban,N
LP100123,21272,2601,279,180,1,Female,Yes,2,Not Graduate,Yes,Semiurban,Y
LP100124,18762,3523,224,180,0,Male,Yes,2,Graduate,Yes,Rural,Y
LP100125,5181,12970,448,84,1,Female,Yes,2,Graduate,Yes,Urban,Y
LP100126,12533,12632,659,84,1,Female,No,1,Not Graduate,Yes,Rural,N
LP100127,23539,11130,675,180,1,Female,No,2,Not Graduate,No,Urban,Y
LP100128,14067,8359,502,180,0,Male,Yes,2,Not Graduate,Yes,Urban,Y
LP100129,5361,9427,611,120,0,Female,Yes,2,Graduate,Yes,Semiurban,N
LP100130,21392,3341,81,120,1,Male,No,0,Graduate,Yes,Rural,N
LP100131,24839,14365,459,180,0,Male,Yes,1,Not Graduate,Yes,Urban,N
LP100132,12329,1007,214,180,0,Male,Yes,0,Graduate,Yes,Semiurban,Y
LP100133,19819,2011,227,84,1,Male,No,3+,Graduate,No,Urban,Y
LP100134,2347,11185,680,84,0,Female,Yes,2,Not Graduate,Yes,Rural,Y
LP100135,9451,120,356,84,0,Female,No,3+,Not Graduate,No,Semiurban,Y
LP100136,18889,4865,659,120,0,Male,No,3+,Not Graduate,Yes,Rural,Y
LP100137,22050,10944,227,180,1,Female,No,0,Not Graduate,Yes,Semiurban,N
LP100138,9553,2279,472,360,0,Female,No,2,Not Graduate,No,Urban,Y
LP100139,4677,7379,594,360,1,Male,No,3+,Not Graduate,Yes,Rural,Y
LP100140,3275,13916,501,180,1,Female,Yes,1,Not Graduate,Yes,Rural,Y
LP100141,24175,12737,476,180,1,Female,No,1,Graduate,No,Urban,Y
LP100142,8697,14753,581,360,1,Female,No,3+,Not Graduate,No,Rural,Y
LP100143,22304,9693,694,180,0,Male,Yes,3+,Not Graduate,No,Rural,Y
LP100144,2878,12825,76,84,0,Female,Yes,3+,Graduate,Yes,Urban,Y
LP100145,4585,12251,430,360,0,Male,No,2,Graduate,No,Urban,Y
LP100146,7996,1269,234,180,0,Female,No,1,Not Graduate,Yes,Urban,Y
LP100147,13644,2026,498,120,1,Male,No,2,Not Graduate,Yes,Semiurban,Y
LP100148,20696,11003,487,180,0,Female,No,3+,Graduate,No,Semiurban,Y
LP100149,11274,9409,376,180,0,Female,No,0,Graduate,Yes,Urban,N
LP100150,6834,7612,233,360,0,Female,No,1,Graduate,No,Urban,Y
LP100151,6768,13003,146,120,1,Female,No,1,Not Graduate,Yes,Semiurban,Y
LP100152,8451,2656,117,180,0,Male,Yes,3+,Graduate,Yes,Rural,Y
LP100153,24598,7950,414,84,0,Female,Yes,1,Graduate,Yes,Rural,N
LP100154,19192,5077,608,120,0,Female,No,3+,Graduate,Yes,Rural,Y
LP100155,11172,6458,465,84,1,Male,Yes,3+,Not Graduate,Yes,Urban,Y
LP100156,24349,14841,112,120,0,Male,No,3+,Graduate,No,Semiurban,N
LP100157,22887,12176,546,120,1,Female,Yes,0,Graduate,No,Semiurban,N
LP100158,9425,3413,236,360,0,Female,Yes,2,Graduate,No,Urban,Y
LP100159,13235,3815,254,180,1,Female,No,1,Graduate,Yes,Semiurban,N
LP100160,5941,3122,162,84,1,Female,Yes,2,Not Graduate,Yes,Urban,Y
LP100161,4297,835,526,120,1,Female,No,3+,Not Graduate,Yes,Rural,Y
LP100162,4404,13963,89,84,0,Female,Yes,2,Graduate,Yes,Rural,Y
LP100163,6285,10192,564,180,0,Female,Yes,1,Not Graduate,No,Urban,Y
LP100164,14561,5187,573,180,0,Female,No,1,Not Graduate,No,Urban,N
LP100165,6855,10360,532,120,0,Male,Yes,1,Not Graduate,Yes,Semiurban,Y
LP100166,21732,170,148,360,0,Female,No,0,Not Graduate,Yes,Semiurban,N
LP100167,24390,14141,563,120,0,Female,Yes,2,Graduate,No,Rural,N
LP100168,1852,1717,216,360,1,Female,Yes,0,Graduate,Yes,Urban,Y
LP100169,6988,7635,410,84,0,Female,Yes,3+,Graduate,Yes,Semiurban,Y
LP100170,24879,982,647,120,0,Female,Yes,2,Graduate,No,Rural,Y
LP100171,22563,14180,306,360,1,Female,Yes,0,Graduate,Yes,Semiurban,N
LP100172,20856,35,69,180,0,Male,Yes,2,Graduate,Yes,Rural,N
LP100173,20750,4918,532,360,1,Female,No,0,Not Graduate,Yes,Rural,N
LP100174,11364,2250,80,180,1,Female,No,3+,Not Graduate,Yes,Rural,N
LP100175,5739,181,168,360,1,Female,No,3+,Not Graduate,Yes,Rural,N
LP100176,19307,13885,524,120,1,Female,Yes,2,Graduate,No,Rural,Y
LP100177,11596,5001,456,120,1,Female,No,3+,Graduate,Yes,Semiurban,Y
LP100178,22316,11472,192,180,0,Male,No,1,Not Graduate,No,Rural,Y
LP100179,18455,4193,488,84,0,Male,No,1,Not Graduate,Yes,Semiurban,N
LP100180,6790,3558,293,84,1,Female,No,0,Not Graduate,Yes,Urban,N
LP100181,5360,8636,66,180,0,Male,Yes,3+,Graduate,No,Rural,N
LP100182,15289,9859,494,84,0,Female,Yes,2,Graduate,No,Semiurban,Y
LP100183,23707,3845,501,180,0,Female,Yes,0,Not Graduate,No,Rural,N
LP100184,18096,13436,106,180,1,Female,No,2,Graduate,No,Semiurban,Y
LP100185,20429,10097,88,120,1,Female,No,0,Graduate,No,Urban,Y
LP100186,9813,11139,353,360,0,Male,Yes,1,Not Graduate,Yes,Semiurban,Y
LP100187,9203,809,531,360,0,Male,No,1,Not Graduate,Yes,Urban,Y
LP100188,9744,13830,537,84,1,Female,Yes,1,Not Graduate,No,Urban,N
LP100189,24886,10012,338,120,0,Female,Yes,0,Not Graduate,No,Urban,Y
LP100190,18604,5637,97,84,0,Male,No,3+,Not Graduate,No,Rural,Y
LP100191,7666,6737,531,120,0,Male,Yes,1,Not Graduate,Yes,Rural,Y
LP100192,5155,10831,129,84,0,Male,No,3+,Graduate,Yes,Semiurban,Y
LP100193,13163,14064,85,120,0,Female,No,1,Not Graduate,Yes,Rural,N
LP100194,14901,14526,65,120,1,Female,No,3+,Graduate,No,Rural,Y
LP100195,3972,3578,438,120,1,Male,Yes,3+,Graduate,Yes,Urban,Y
LP100196,5966,14602,450,120,1,Male,Yes,1,Not Graduate,No,Rural,N
LP100197,12890,6995,110,120,1,Male,No,0,Graduate,Yes,Rural,Y
LP100198,21316,10953,164,120,0,Male,No,0,Graduate,Yes,Rural,Y
LP100199,7148,5294,595,360,0,Male,Yes,2,Graduate,Yes,Rural,Y
LP100200,12116,854,560,84,0,Female,Yes,2,Not Graduate,No,Urban,Y
LP100201,23842,510,568,84,1,Female,No,1,Graduate,No,Rural,Y
LP100202,6191,13650,250,120,1,Female,No,3+,Not Graduate,Yes,Rural,Y
LP100203,16697,9311,196,84,1,Female,No,3+,Graduate,No,Urban,Y
LP100204,16356,14562,572,120,1,Female,Yes,0,Graduate,No,Rural,Y
LP100205,19513,12039,542,120,1,Female,No,3+,Not Graduate,Yes,Semiurban,Y
LP100206,6321,12030,178,360,0,Female,Yes,3+,Graduate,No,Rural,N
LP100207,10217,3701,129,120,1,Female,Yes,0,Not Graduate,Yes,Rural,Y
LP100208,16899,12349,301,84,0,Female,No,2,Not Graduate,Yes,Rural,N
LP100209,2208,10182,371,360,0,Male,Yes,3+,Not Graduate,No,Rural,Y
LP100210,24861,10569,198,360,0,Female,Yes,3+,Not Graduate,Yes,Rural,N
LP100211,12848,7246,213,180,0,Male,No,1,Graduate,No,Urban,Y
LP100212,2387,3617,649,84,0,Female,Yes,3+,Graduate,Yes,Rural,Y
LP100213,14037,6743,383,84,0,Male,Yes,3+,Not Graduate,Yes,Semiurban,Y
LP100214,14984,9118,160,120,1,Male,Yes,1,Not Graduate,No,Rural,Y
LP100215,7622,7618,342,84,1,Male,No,1,Graduate,Yes,Rural,Y
LP100216,8566,11451,221,180,1,Male,No,3+,Not Graduate,Yes,Semiurban,Y
LP100217,18107,5614,290,360,0,Female,Yes,2,Graduate,No,Semiurban,N
LP100218,22714,11627,371,180,1,Female,Yes,2,Graduate,No,Rural,Y
LP100219,9256,4568,341,180,0,Female,Yes,1,Not Graduate,No,Rural,Y
LP100220,5771,4253,658,360,0,Male,No,2,Graduate,No,Semiurban,N
LP100221,19966,13589,372,84,0,Male,No,2,Graduate,No,Semiurban,Y
LP100222,14827,1354,408,180,1,Female,Yes,3+,Not Graduate,Yes,Semiurban,N
LP100223,4032,11503,461,120,1,Male,Yes,0,Graduate,Yes,Rural,Y
LP100224,12761,13264,379,120,1,Male,No,0,Graduate,No,Semiurban,Y
LP100225,3887,7490,585,120,1,Female,No,0,Not Graduate,Yes,Urban,N
LP100226,7021,10259,267,180,1,Male,Yes,3+,Not Graduate,No,Urban,Y
LP100227,5926,5755,471,84,1,Male,Yes,0,Graduate,No,Semiurban,N
LP100228,23927,5832,568,360,0,Female,Yes,1,Graduate,Yes,Urban,Y
LP100229,13599,12536,639,360,0,Male,No,0,Not Graduate,No,Rural,N
LP100230,13196,10624,51,84,1,Male,No,0,Graduate,No,Urban,Y
LP100231,24774,10725,506,180,1,Female,Yes,3+,Graduate,No,Rural,Y
LP100232,20242,11811,538,180,0,Male,No,0,Not Graduate,Yes,Rural,Y
LP100233,10028,12144,61,84,0,Female,Yes,0,Not Graduate,Yes,Semiurban,N
LP100234,11784,4234,287,120,0,Female,Yes,0,Not Graduate,Yes,Semiurban,Y
LP100235,24651,14243,236,84,1,Female,Yes,3+,Graduate,Yes,Semiurban,N
LP100236,18941,11324,144,120,0,Male,Yes,0,Not Graduate,No,Semiurban,N
LP100237,11795,1495,411,360,1,Female,No,1,Graduate,Yes,Urban,Y
LP100238,9118,6053,316,360,1,Male,Yes,1,Graduate,No,Urban,Y
LP100239,16588,1832,253,84,1,Male,Yes,3+,Graduate,No,Urban,Y
LP100240,3212,463,402,84,0,Male,No,3+,Not Graduate,No,Semiurban,N
LP100241,12626,5656,483,120,1,Female,Yes,1,Graduate,No,Urban,Y
LP100242,9621,13812,686,84,1,Male,No,0,Graduate,No,Semiurban,N
LP100243,21310,7798,459,84,0,Male,No,3+,Not Graduate,No,Urban,Y
LP100244,17912,10251,509,84,1,Male,Yes,3+,Not Graduate,Yes,Rural,Y
LP100245,10522,10598,183,360,1,Female,No,1,Not Graduate,No,Urban,Y
LP100246,18933,4905,378,84,0,Male,No,3+,Graduate,Yes,Urban,Y
LP100247,2222,1064,418,84,1,Female,Yes,3+,Not Graduate,No,Semiurban,Y
LP100248,4834,13935,589,180,0,Female,No,3+,Not Graduate,No,Urban,Y
LP100249,12711,6029,537,120,1,Female,Yes,3+,Graduate,Yes,Urban,N
LP100250,16453,430,95,180,0,Male,No,2,Graduate,Yes,Urban,Y
LP100251,2598,4244,619,120,0,Female,Yes,3+,Graduate,No,Semiurban,Y
LP100252,18520,3978,541,180,1,Female,Yes,2,Graduate,No,Semiurban,Y
LP100253,17481,14356,654,120,1,Female,Yes,1,Graduate,Yes,Urban,N
LP100254,7017,6903,358,360,1,Female,No,2,Graduate,No,Rural,Y
LP100255,4584,5405,422,120,1,Male,Yes,2,Graduate,No,Semiurban,N
LP100256,17871,6895,202,84,0,Male,No,2,Not Graduate,Yes,Semiurban,N
LP100257,1759,9559,411,120,0,Female,No,0,Not Graduate,No,Rural,Y
LP100258,23716,9564,348,84,1,Male,Yes,0,Graduate,No,Urban,N
LP100259,4216,8372,184,180,0,Male,Yes,0,Not Graduate,Yes,Semiurban,Y
LP100260,19102,4856,113,120,1,Male,Yes,1,Graduate,No,Urban,N
LP100261,11334,13333,320,120,1,Male,Yes,1,Not Graduate,Yes,Rural,Y
LP100262,23498,2141,128,180,1,Female,Yes,0,Graduate,No,Urban,Y
LP100263,22131,4724,626,180,1,Female,No,0,Not Graduate,No,Rural,N
LP100264,3194,6709,262,84,1,Female,Yes,2,Graduate,Yes,Urban,Y
LP100265,19419,1739,127,120,0,Male,Yes,3+,Not Graduate,No,Urban,N
LP100266,6967,14466,108,120,1,Female,No,3+,Not Graduate,No,Urban,Y
LP100267,11632,10492,284,180,1,Male,Yes,0,Not Graduate,No,Semiurban,Y
LP100268,2875,6957,569,120,0,Female,Yes,0,Not Graduate,No,Semiurban,Y
LP100269,17542,11445,615,180,0,Male,Yes,3+,Not Graduate,No,Urban,Y
LP100270,2148,8825,532,84,0,Female,Yes,3+,Graduate,No,Semiurban,N
LP100271,23235,9593,564,84,1,Male,Yes,2,Graduate,No,Urban,N
LP100272,15814,4398,156,84,0,Female,Yes,3+,Graduate,Yes,Urban,N
LP100273,16361,13068,142,120,1,Male,No,0,Graduate,No,Rural,Y
LP100274,17346,4111,656,360,1,Male,No,0,Graduate,No,Semiurban,Y
LP100275,11956,8232,348,180,1,Male,Yes,3+,Graduate,Yes,Rural,Y
LP100276,4141,13511,195,84,0,Male,No,1,Graduate,No,Urban,N
LP100277,7928,7093,559,120,1,Female,Yes,2,Graduate,No,Rural,Y
LP100278,21029,7807,181,360,1,Female,No,1,Graduate,Yes,Semiurban,Y
LP100279,11249,9355,147,180,0,Male,No,3+,Not Graduate,Yes,Semiurban,N
LP100280,13997,11287,56,360,0,Female,Yes,1,Graduate,Yes,Urban,N
LP100281,6423,9456,163,180,0,Male,Yes,0,Graduate,No,Semiurban,Y
LP100282,14729,3233,159,360,1,Female,Yes,2,Graduate,Yes,Rural,N
LP100283,9595,3741,434,120,0,Female,No,3+,Not Graduate,Yes,Rural,Y
LP100284,19101,9797,55,84,1,Female,Yes,3+,Graduate,Yes,Urban,Y
LP100285,13943,13495,687,84,0,Female,Yes,0,Graduate,No,Rural,N
LP100286,14603,11560,677,120,0,Male,Yes,0,Not Graduate,Yes,Urban,Y
LP100287,1655,9252,497,120,0,Female,No,0,Not Graduate,No,Semiurban,Y
LP100288,2472,14179,471,120,1,Male,Yes,3+,Not Graduate,No,Urban,N
LP100289,22298,14145,52,180,0,Female,No,0,Not Graduate,Yes,Rural,Y
LP100290,4330,1771,499,180,1,Female,No,2,Not Graduate,Yes,Semiurban,N
LP100291,5594,659,684,180,1,Female,Yes,3+,Graduate,Yes,Rural,Y
LP100292,21873,8342,655,120,1,Male,Yes,3+,Not Graduate,Yes,Semiurban,N
LP100293,2084,4422,285,120,1,Female,Yes,0,Graduate,Yes,Semiurban,N
LP100294,22247,2122,207,120,0,Male,Yes,2,Not Graduate,No,Rural,Y
LP100295,22667,12772,262,180,0,Female,No,2,Not Graduate,No,Semiurban,Y
LP100296,23312,11585,50,180,0,Female,Yes,1,Not Graduate,Yes,Semiurban,Y
LP100297,23383,7238,185,84,1,Female,No,0,Graduate,No,Semiurban,Y
LP100298,20479,5821,625,360,1,Male,Yes,1,Not Graduate,No,Semiurban,Y
LP100299,13204,9113,171,120,1,Male,No,1,Not Graduate,Yes,Semiurban,Y
LP100300,13922,10455,549,360,1,Female,No,1,Graduate,No,Rural,N
LP100301,3216,13265,624,120,0,Male,Yes,0,Graduate,Yes,Semiurban,N
LP100302,17521,6851,205,120,1,Male,Yes,3+,Graduate,No,Semiurban,Y
LP100303,16426,9047,63,84,1,Male,No,2,Not Graduate,No,Semiurban,N
LP100304,12155,5598,623,84,0,Male,Yes,1,Graduate,No,Urban,Y
LP100305,18724,13852,696,360,1,Female,Yes,0,Not Graduate,No,Urban,Y
LP100306,18743,10444,668,360,1,Female,Yes,3+,Not Graduate,No,Rural,Y
LP100307,21764,8533,628,360,1,Female,No,1,Not Graduate,Yes,Semiurban,Y
LP100308,6319,9821,380,120,0,Female,No,3+,Not Graduate,Yes,Semiurban,Y
LP100309,5616,5999,583,84,1,Male,Yes,0,Not Graduate,No,Semiurban,Y
LP100310,4939,10830,466,84,0,Male,Yes,3+,Not Graduate,Yes,Urban,Y
LP100311,17070,4583,162,360,0,Female,No,3+,Not Graduate,Yes,Semiurban,Y
LP100312,11637,14246,535,120,1,Female,Yes,2,Graduate,No,Urban,Y
LP100313,23094,3900,544,360,1,Male,No,0,Graduate,No,Rural,Y
LP100314,21247,13268,192,180,0,Female,No,3+,Graduate,Yes,Rural,Y
LP100315,15220,14489,311,84,0,Male,Yes,0,Not Graduate,No,Semiurban,Y
LP100316,6928,10734,495,180,0,Male,No,1,Not Graduate,Yes,Urban,N
LP100317,10543,9883,570,180,1,Male,Yes,3+,Graduate,No,Semiurban,Y
LP100318,20065,11340,519,360,0,Female,No,2,Not Graduate,Yes,Rural,N
LP100319,2447,5739,423,360,0,Female,Yes,3+,Not Graduate,Yes,Urban,N
LP100320,11368,455,592,120,1,Male,No,1,Graduate,Yes,Semiurban,Y
LP100321,21070,8787,309,360,0,Male,No,0,Graduate,No,Semiurban,N
LP100322,18010,5083,197,180,0,Female,No,3+,Graduate,Yes,Semiurban,N
LP100323,9859,5876,355,180,0,Male,No,0,Not Graduate,No,Urban,N
LP100324,12822,5245,244,360,1,Male,Yes,1,Graduate,No,Rural,N
LP100325,2943,13656,541,180,0,Male,No,2,Not Graduate,No,Urban,N
LP100326,7582,13292,634,180,1,Female,Yes,3+,Not Graduate,No,Rural,Y
LP100327,21536,8117,255,180,1,Female,No,1,Graduate,Yes,Rural,N
LP100328,15899,11628,606,360,0,Female,Yes,3+,Graduate,No,Semiurban,Y
LP100329,3982,605,115,360,0,Female,No,3+,Graduate,No,Semiurban,Y
LP100330,15832,86,229,180,0,Female,Yes,3+,Not Graduate,Yes,Urban,N
